pop,W,w0,w1,n_units,is_stationary,cv,drift,pv,cv2,vr,nwin,flags
ORB,300.0,2100.0,2400.0,16,True,0.0,0.0,1.0,,1.0,10,
ORB,300.0,2400.0,2700.0,16,True,0.0,0.0,1.0,,1.0,10,
ORB,300.0,2700.0,3000.0,16,True,0.0,0.0,1.0,,1.0,10,
ORB,300.0,3000.0,3300.0,16,True,0.0,0.0,1.0,,1.0,10,
ORB,300.0,3300.0,3600.0,16,True,0.0,0.0,1.0,,1.0,10,
ORB,300.0,3600.0,3900.0,16,True,0.0,0.0,1.0,,1.0,10,
ORB,300.0,3900.0,4200.0,16,True,0.0,0.0,1.0,,1.0,10,
ORB,300.0,4200.0,4500.0,16,True,0.0,0.0,1.0,,1.0,10,
ORB,300.0,4500.0,4800.0,16,True,0.0,0.0,1.0,,1.0,10,
ORB,300.0,4800.0,5100.0,16,True,0.0,0.0,1.0,,1.0,10,
ORB,600.0,0.0,600.0,16,False,1.575850012737786,0.0017021198830409357,9.712972361294299e-06,0.8018102806040026,2.695965417867435,20,population_rate_cv=1.576 > 0.3;rate_drift p=9.71e-06 < 0.01 (slope=0.0017 Hz/s)
ORB,600.0,600.0,1200.0,16,False,1.2445130421686603,-0.010747337092731832,0.3722692341643844,0.8802279124111985,4791.579470198675,20,population_rate_cv=1.245 > 0.3;rolling_var_ratio=4791.58 > 3.0
ORB,600.0,1200.0,1800.0,16,True,0.0,0.0,1.0,,1.0,20,
ORB,600.0,1800.0,2400.0,16,True,0.0,0.0,1.0,,1.0,20,
ORB,600.0,2400.0,3000.0,16,True,0.0,0.0,1.0,,1.0,20,
ORB,600.0,3000.0,3600.0,16,True,0.0,0.0,1.0,,1.0,20,
ORB,600.0,3600.0,4200.0,16,True,0.0,0.0,1.0,,1.0,20,
ORB,600.0,4200.0,4800.0,16,True,0.0,0.0,1.0,,1.0,20,
ORB,1200.0,0.0,1200.0,16,False,1.9337724541724541,0.007672021575984991,0.018480824551145147,0.8827724178841249,4791.579470198675,40,population_rate_cv=1.934 > 0.3;rolling_var_ratio=4791.58 > 3.0
ORB,1200.0,1200.0,2400.0,16,True,0.0,0.0,1.0,,1.0,40,
ORB,1200.0,2400.0,3600.0,16,True,0.0,0.0,1.0,,1.0,40,
ORB,1200.0,3600.0,4800.0,16,True,0.0,0.0,1.0,,1.0,40,
CTXsp,300.0,0.0,300.0,15,True,0.0,0.0,1.0,,1.0,10,
CTXsp,300.0,300.0,600.0,15,True,0.0,0.0,1.0,,1.0,10,
CTXsp,300.0,600.0,900.0,15,True,0.0,0.0,1.0,,1.0,10,
CTXsp,300.0,900.0,1200.0,15,True,0.0,0.0,1.0,,1.0,10,
CTXsp,300.0,1200.0,1500.0,15,False,1.127019406211521,0.11529562289562288,0.00026153615776693465,0.8189590820600423,10.72183983221656,10,population_rate_cv=1.127 > 0.3;rate_drift p=0.000262 < 0.01 (slope=0.115 Hz/s);rolling_var_ratio=10.72 > 3.0
CTXsp,300.0,1500.0,1800.0,15,False,1.318125320816945,-0.10842693602693605,0.0006857365976969919,0.8448492331704174,1.9499595438082762,10,population_rate_cv=1.318 > 0.3;rate_drift p=0.000686 < 0.01 (slope=-0.108 Hz/s)
CTXsp,300.0,1800.0,2100.0,15,True,0.0,0.0,1.0,,1.0,10,
CTXsp,300.0,2100.0,2400.0,15,True,0.0,0.0,1.0,,1.0,10,
CTXsp,300.0,2400.0,2700.0,15,True,0.0,0.0,1.0,,1.0,10,
CTXsp,300.0,2700.0,3000.0,15,True,0.0,0.0,1.0,,1.0,10,
CTXsp,300.0,3000.0,3300.0,15,True,0.0,0.0,1.0,,1.0,10,
CTXsp,300.0,3300.0,3600.0,15,True,0.0,0.0,1.0,,1.0,10,
CTXsp,300.0,3600.0,3900.0,15,True,0.0,0.0,1.0,,1.0,10,
CTXsp,300.0,3900.0,4200.0,15,True,0.0,0.0,1.0,,1.0,10,
CTXsp,300.0,4200.0,4500.0,15,True,0.0,0.0,1.0,,1.0,10,
CTXsp,300.0,4500.0,4800.0,15,True,0.0,0.0,1.0,,1.0,10,
CTXsp,300.0,4800.0,5100.0,15,True,0.0,0.0,1.0,,1.0,10,
CTXsp,600.0,0.0,600.0,15,True,0.0,0.0,1.0,,1.0,20,
CTXsp,600.0,600.0,1200.0,15,True,0.0,0.0,1.0,,1.0,20,
CTXsp,600.0,1200.0,1800.0,15,False,1.1853077027342382,-0.0035689223057644094,0.8105106029767399,0.8313864544199795,10.72183983221656,20,population_rate_cv=1.185 > 0.3;rolling_var_ratio=10.72 > 3.0
CTXsp,600.0,1800.0,2400.0,15,True,0.0,0.0,1.0,,1.0,20,
CTXsp,600.0,2400.0,3000.0,15,True,0.0,0.0,1.0,,1.0,20,
CTXsp,600.0,3000.0,3600.0,15,True,0.0,0.0,1.0,,1.0,20,
CTXsp,600.0,3600.0,4200.0,15,True,0.0,0.0,1.0,,1.0,20,
CTXsp,600.0,4200.0,4800.0,15,True,0.0,0.0,1.0,,1.0,20,
CTXsp,1200.0,0.0,1200.0,15,True,0.0,0.0,1.0,,1.0,40,
CTXsp,1200.0,1200.0,2400.0,15,False,1.939974428936979,-0.012119241192411924,0.002240961868673221,0.8313864544199795,10.72183983221656,40,population_rate_cv=1.940 > 0.3;rate_drift p=0.00224 < 0.01 (slope=-0.0121 Hz/s);rolling_var_ratio=10.72 > 3.0
CTXsp,1200.0,2400.0,3600.0,15,True,0.0,0.0,1.0,,1.0,40,
CTXsp,1200.0,3600.0,4800.0,15,True,0.0,0.0,1.0,,1.0,40,
VIS,300.0,0.0,300.0,41,True,0.0,0.0,1.0,,1.0,10,
VIS,300.0,300.0,600.0,41,True,0.0,0.0,1.0,,1.0,10,
VIS,300.0,600.0,900.0,41,True,0.0,0.0,1.0,,1.0,10,
VIS,300.0,900.0,1200.0,41,True,0.0,0.0,1.0,,1.0,10,
VIS,300.0,1200.0,1500.0,41,True,0.0,0.0,1.0,,1.0,10,
VIS,300.0,1500.0,1800.0,41,True,0.0,0.0,1.0,,1.0,10,
VIS,300.0,1800.0,2100.0,41,True,0.0,0.0,1.0,,1.0,10,
VIS,300.0,2100.0,2400.0,41,False,2.1450147779327855,0.005904081465057076,0.024579918491883016,0.7563803290297179,9.997938759278897,10,population_rate_cv=2.145 > 0.3;rolling_var_ratio=10.00 > 3.0
VIS,300.0,2400.0,2700.0,41,False,0.9872529474041669,0.0036872792970353953,0.5213366867685121,0.8509357567169539,275.44282352941184,10,population_rate_cv=0.987 > 0.3;rolling_var_ratio=275.44 > 3.0
VIS,300.0,2700.0,3000.0,41,False,0.7203680729678729,-0.015149051490514905,0.03010372604558109,0.8287925956400807,76.16363150233208,10,population_rate_cv=0.720 > 0.3;rolling_var_ratio=76.16 > 3.0
VIS,300.0,3000.0,3300.0,41,True,0.0,0.0,1.0,,1.0,10,
VIS,300.0,3300.0,3600.0,41,False,0.5217049688897466,-0.005284060113328406,0.37050541820230243,0.8231189874670269,6.514658076428239,10,population_rate_cv=0.522 > 0.3;rolling_var_ratio=6.51 > 3.0
VIS,300.0,3600.0,3900.0,41,False,0.47609044865926514,0.01652623798965263,0.2843087074889491,0.6865930682459958,22.295889548889885,10,population_rate_cv=0.476 > 0.3;rolling_var_ratio=22.30 > 3.0
VIS,300.0,3900.0,4200.0,41,False,0.6587787859749109,0.017767923133776793,0.00396033301813833,0.7338311476567999,66.46956944081211,10,population_rate_cv=0.659 > 0.3;rate_drift p=0.00396 < 0.01 (slope=0.0178 Hz/s);rolling_var_ratio=66.47 > 3.0
VIS,300.0,4200.0,4500.0,41,False,3.1622776601683795,-7.686622320768662e-05,0.12150291881711318,0.659902589910501,1.0,10,population_rate_cv=3.162 > 0.3
VIS,300.0,4500.0,4800.0,41,True,0.0,0.0,1.0,,1.0,10,
VIS,300.0,4800.0,5100.0,41,True,0.0,0.0,1.0,,1.0,10,
VIS,600.0,0.0,600.0,41,True,0.0,0.0,1.0,,1.0,20,
VIS,600.0,600.0,1200.0,41,True,0.0,0.0,1.0,,1.0,20,
VIS,600.0,1200.0,1800.0,41,True,0.0,0.0,1.0,,1.0,20,
