pop,W,t0,t1,n_units,base_cv,base_vr,cv_th,vr_th,cv,vr,drift,pv,stat_adapt,alpha_s,alpha_t,opt_bin_ms,branching,r2,gamma_fit,gamma_pred,gamma_dev,n_av
MOs5,120.0,1700.0,1820.0,52,0.23749810400882185,20.987402592158922,0.3,31.481103888238383,0.23875786679045566,6.192067255874111,-0.007835775335775336,0.04783765760446443,True,1.2958251171889514,1.3999597629655618,32.0,1.2368488792752192,0.9117444697652629,1.3309838085056303,1.3520142128773223,0.01555486929899623,321
MOs5,120.0,1760.0,1880.0,52,0.23749810400882185,20.987402592158922,0.3,31.481103888238383,0.3352371988964645,15.949773658115971,-0.000951363451363452,0.8625080708060631,False,1.3338073572971207,1.4432876464150477,32.0,1.1860677649795108,0.9231033745804655,1.3248729946806752,1.3279744640873177,0.0023354887390654943,367
MOs5,120.0,1820.0,1940.0,52,0.23749810400882185,20.987402592158922,0.3,31.481103888238383,0.3394392031227413,20.839857045609254,0.005756003256003258,0.33581410528669037,False,1.296977045476133,1.4063839330050452,32.0,1.2273787699654903,0.9171743147806375,1.340907735874214,1.3684018317089255,0.020092121478948524,282
MOs5,200.0,1700.0,1900.0,52,0.23749810400882185,20.987402592158922,0.3,31.481103888238383,0.273425460813154,8.32523026699312,-0.001773626373626373,0.560453881351682,True,1.3038385093235794,1.4110204800046349,32.0,1.224153595522691,0.9165034810970276,1.3396352447801463,1.352759664730022,0.00970195984701761,541
MOs6a,120.0,4930.0,5050.0,33,0.21857457191346708,3.8948281846581065,0.3,5.84224227698716,0.12618410223115217,5.461152882205515,0.0009090909090909088,0.32502275302727995,True,2.017425198654883,2.067951021286289,8.0,0.3091430914309143,0.882714061104407,1.1689063999073754,1.0496604789209125,0.11360427812720154,1712
MOs6a,120.0,4990.0,5110.0,33,0.21857457191346708,3.8948281846581065,0.3,5.84224227698716,0.2889007680222403,7.304154632303934,0.0019945486612153274,0.3563667259870423,False,2.024408675797085,2.0841041635962467,8.0,0.2940456769983687,0.8674556866666279,1.2049193219545677,1.0582731181505398,0.13857122635819183,1757
MOs6a,120.0,5050.0,5170.0,33,0.21857457191346708,3.8948281846581065,0.3,5.84224227698716,0.3043507914988871,11.972672739391253,0.005159531826198492,0.022116740990355346,False,1.752205717403723,1.8619552939728168,16.0,0.5684548467274234,0.8733066658985753,1.288584202282657,1.1459036723994867,0.1245135462254011,1207
MOs6a,120.0,5110.0,5230.0,33,0.21857457191346708,3.8948281846581065,0.3,5.84224227698716,0.16000282926556372,4.354314802844216,-0.00047779381112714533,0.7702632394950664,True,1.736288606104146,1.848441056485178,16.0,0.5879665132924334,0.8807093122978141,1.3055779112842707,1.1523213172813493,0.1329981418416322,1273
MOs6a,200.0,4930.0,5130.0,33,0.21857457191346708,3.8948281846581065,0.3,5.84224227698716,0.20367192021978694,3.6864988558352394,0.0010083694083694087,0.2695142306118278,True,2.013496313249073,2.069422388165444,8.0,0.3098382965097662,0.8743622900734781,1.1868649200335495,1.0551813303958484,0.12479711860358671,2923
MOs6a,200.0,5030.0,5230.0,33,0.21857457191346708,3.8948281846581065,0.3,5.84224227698716,0.24454729701687156,7.087013729977116,0.0016121212121212117,0.20784842467507936,False,1.7509846871791497,1.8611050063514019,16.0,0.5720415537488709,0.8749699479291699,1.2925589377540891,1.1466345733171823,0.12726318203955045,2029
MOs6a,300.0,4930.0,5230.0,33,0.21857457191346708,3.8948281846581065,0.3,5.84224227698716,0.21857457191346708,3.8948281846581065,0.0012237526782981328,0.03256793856758476,True,1.7582582494181338,1.869231642116876,16.0,0.5594806025708137,0.87044678410055,1.2873952390581163,1.146353030493107,0.12303557875564688,2911
ORBl6a,120.0,730.0,850.0,22,0.14792749008565442,18.909606895101984,0.3,28.364410342652974,0.16717822204900512,19.762317363234786,0.022409812409812407,0.012343462247399519,True,1.2121893818654053,1.3048451732737487,32.0,1.398733942350601,0.9425026328521132,1.1271036423219363,1.436665541855984,0.21547248856134893,135
ORBl6a,120.0,790.0,910.0,22,0.14792749008565442,18.909606895101984,0.3,28.364410342652974,0.0713751479831061,12.814802467077843,0.005942760942760938,0.24542582554119513,True,1.2140029109857533,1.3143170655312013,32.0,1.4259659596802683,0.9414912835405285,1.1506955209795386,1.4687513552193043,0.2165484532896146,163
ORBl6a,120.0,850.0,970.0,22,0.14792749008565442,18.909606895101984,0.3,28.364410342652974,0.12253349341317504,20.0646913682639,0.004531024531024531,0.6486516051149063,True,1.205306234551069,1.3020438821302336,32.0,1.4033743447867848,0.9547303933101906,1.150166777985691,1.4711870917641399,0.21820495542378965,126
ORBl6a,200.0,730.0,930.0,22,0.14792749008565442,18.909606895101984,0.3,28.364410342652974,0.1539664895993669,10.6493417317012,0.014160173160173161,0.004380644881288884,False,1.212498414347714,1.309678170592921,32.0,1.4066141166703254,0.942602856819514,1.1435873546052215,1.457319912449749,0.21528049892431936,236
ORBl5,120.0,730.0,850.0,35,0.16734479942986857,16.226841647946443,0.3,24.340262471919665,0.21174662445067963,7.546221142971194,0.04531972789115646,0.005544776668038258,False,1.1772109325973337,1.2871864308486836,32.0,1.3633661713998613,0.9463211954539208,1.205215192343221,1.6205909344275105,0.2563112832857015,77
ORBl5,120.0,790.0,910.0,35,0.16734479942986857,16.226841647946443,0.3,24.340262471919665,0.07064426257142165,3.5693493115463557,0.0078941798941799,0.32752256735889806,True,1.1421224148925955,1.2172660282849974,32.0,1.3485229878805374,0.9764895774569814,1.023636944091098,1.5287245748616738,0.3303980580126924,41
ORBl5,120.0,850.0,970.0,35,0.16734479942986857,16.226841647946443,0.3,24.340262471919665,0.11209427536881464,39.08660021504753,-0.001123204837490559,0.936245649478147,False,1.1398105506484568,1.21422579395577,32.0,1.368234474878032,0.9893231862811047,1.0219611201744272,1.5322577084645397,0.33303574553491766,33
ORBl5,200.0,730.0,930.0,35,0.16734479942986857,16.226841647946443,0.3,24.340262471919665,0.18628258137015918,10.349107923542634,0.02507591836734693,0.009511268958191288,False,1.167374363529903,1.2671825022471257,32.0,1.367091513643645,0.9542218068177132,1.1804433404025154,1.5963167632860995,0.2605206137330084,99
OLF,120.0,1050.0,1170.0,15,0.6608738305035285,13.310445090583766,0.7930485966042342,19.965667635875647,0.7376519095517045,13.170758928571416,-0.035350970017636686,0.04658003852077357,True,1.5597083409806065,1.726616855131633,32.0,0.779507805265729,0.8147990483441833,1.4921657523198204,1.298206229799262,0.14940578628293116,773
OLF,120.0,1110.0,1230.0,15,0.6608738305035285,13.310445090583766,0.7930485966042342,19.965667635875647,0.1763492138141291,6.486886160714281,0.002902998236331569,0.32092178856227005,True,1.6643570196577206,1.805313619814124,32.0,0.6449581329057545,0.7975236740226879,1.3572873000174464,1.2121699567937503,0.11971699381787901,862
OLF,120.0,1170.0,1290.0,15,0.6608738305035285,13.310445090583766,0.7930485966042342,19.965667635875647,0.32047000089877925,7.067901234567903,0.008984126984126982,0.11120443430714992,True,1.6313416995817294,1.7874870860068957,32.0,0.7108674787744556,0.8041071004888143,1.3797326180226528,1.2473231001985363,0.10615494718492816,823
OLF,200.0,1050.0,1250.0,15,0.6608738305035285,13.310445090583766,0.7930485966042342,19.965667635875647,0.6747492294895224,83.94400000000006,-0.014587936507936508,0.0872831604798919,False,1.5990498548123924,1.7587968584457039,32.0,0.7342050615723181,0.8063591563486119,1.4593133448054445,1.2666672937986778,0.15208891233705885,1323
AIv5,120.0,730.0,850.0,11,0.18299335440868283,6.075460108996696,0.3,9.113190163495045,0.23941323428565764,7.226014040561625,0.032491582491582495,0.009782236456930002,False,1.3801831327134515,1.5439405728849547,32.0,1.1359074896093513,0.8780358430844558,1.3611325713409008,1.4307330496298716,0.04864672575151339,562
AIv5,120.0,790.0,910.0,11,0.18299335440868283,6.075460108996696,0.3,9.113190163495045,0.0744170437676368,8.424143679902999,-0.001948051948051951,0.7317061713940277,True,1.350161713380324,1.501748297426695,32.0,1.1917964020076492,0.8648775747185327,1.321204364326392,1.4329045074146265,0.07795365462962624,535
AIv5,120.0,850.0,970.0,11,0.18299335440868283,6.075460108996696,0.3,9.113190163495045,0.14711010533757377,15.601394361927852,0.0016354016354016374,0.8897945633820661,False,1.3305837082672465,1.473071040517877,32.0,1.2484193537312447,0.8793152032213096,1.2793613693501893,1.4310174055384566,0.10597777189942903,463
AIv5,200.0,730.0,930.0,11,0.18299335440868283,6.075460108996696,0.3,9.113190163495045,0.1971831964159294,2.4454418917439518,0.016098701298701296,0.022096261027543095,True,1.3637085758970937,1.5222263155211975,32.0,1.1847927878491218,0.8754007429518789,1.3358278966829862,1.4358372337883893,0.06965228004398048,887
EPd,120.0,1360.0,1480.0,39,0.18203579103276968,5.943361989873933,0.3,8.9150429848109,0.25061993625158535,7.857349188772807,0.004692714692714698,0.841248482138678,True,1.2342270509511983,1.4609147934234397,32.0,1.2353032312258703,0.9032131353756593,1.4490494253200712,1.9678119651494572,0.2636240398050357,367
EPd,120.0,1420.0,1540.0,39,0.18203579103276968,5.943361989873933,0.3,8.9150429848109,0.21098946040106,2.0405235273644453,0.030671550671550675,0.12404383757304976,True,1.2344797476886018,1.4731357446840962,32.0,1.2383025674089776,0.891519969995961,1.523908606508191,2.0178107036878887,0.24477127427117343,424
EPd,120.0,1480.0,1600.0,39,0.18203579103276968,5.943361989873933,0.3,8.9150429848109,0.22148551453786205,5.901933379920803,-0.04400488400488401,0.019700159467368163,True,1.2383676122363259,1.487912258208484,32.0,1.2561817728549398,0.8859445058826021,1.5364852852913171,2.0468899009851684,0.24935616490569107,418
EPd,200.0,1360.0,1560.0,39,0.18203579103276968,5.943361989873933,0.3,8.9150429848109,0.13735490219563323,4.800147429413883,0.009340659340659339,0.23979073740793927,True,1.2317579505716252,1.460404136538394,32.0,1.2532988879864475,0.9014621662747814,1.4712897485924858,1.9865732131424994,0.25938307289208956,609
VISam4,120.0,2350.0,2470.0,18,0.08500908964872651,20.38622150041723,0.3,30.579332250625843,0.06671507240536204,2.510661268556009,-0.004168136390358607,0.3961309581005149,True,1.2743597713577797,1.4384538659830337,32.0,1.626191231777515,0.8025434118064537,1.3175134315662842,1.5980982336191942,0.1755741894648572,364
VISam4,120.0,2410.0,2530.0,18,0.08500908964872651,20.38622150041723,0.3,30.579332250625843,0.08292967363670894,4.652737549562725,0.0021546149323927047,0.7280951003385292,True,1.2914879920582967,1.4896836245434393,32.0,1.618501502521693,0.7405712721733472,1.5069925020149264,1.6799444158423655,0.10295097397059817,509
VISam4,120.0,2470.0,2590.0,18,0.08500908964872651,20.38622150041723,0.3,30.579332250625843,0.1533940330447267,23.85061929857414,-0.01739564961787184,0.06864392969162993,True,1.2952518991776067,1.5004034191549525,32.0,1.6557190923970155,0.7478752537351597,1.5721328374645942,1.6948355643055093,0.07239801277783244,519
VISam4,200.0,2350.0,2550.0,18,0.08500908964872651,20.38622150041723,0.3,30.579332250625843,0.06580168507275194,4.993594527363184,-0.0027460317460317398,0.33793711547497735,True,1.2853821892221746,1.4692936791769853,32.0,1.6326881188950213,0.7747189707413176,1.420986513120344,1.644439270916212,0.13588386129417196,732
VISa5,120.0,3630.0,3750.0,33,0.19573376984223848,13.652157322358205,0.3,20.478235983537306,0.1154172591151091,7.573750795109194,0.002268718935385602,0.09402187327655903,True,1.5064449413973504,1.6639872838812533,32.0,0.9002445984879035,0.8242043679682757,1.3958082511200653,1.3110749651269535,0.06462886428840241,702
